Game Name,GA Game Code,Vendor,Category,Released Date,Game Status,Remark,Month
Dragon Dragon,WCLIVE_DragonDragon0001,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,IDR(K) only,June 2026
Dynasty Speed Baccarat 12,WCLIVE_tue3foq5kglaaxho,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Red Baron,WCLIVE_tw7igv32hr3abr4d,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Red Baron RNG,WCLIVE_tw7ilpwhhr3abr4u,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Dynasty Speed Baccarat 13,WCLIVE_twcmkibcnxxaa4kv,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Dynasty Speed Baccarat 14,WCLIVE_twcmkloxnxxaa6kf,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Dynasty Speed Baccarat 15,WCLIVE_twcmkpllnxxabaks,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Dynasty Speed Baccarat 16,WCLIVE_twcmksfqnxxabckz,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Dynasty Speed Baccarat 17,WCLIVE_twcmkvkpnxxabelk,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,APAC,June 2026
Dragon Dragon,WCLIVE_tsw2xtscnzkqa5ca,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 9,WCLIVE_ttspy3jud7aaabvm,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
VIP Always 6 Blackjack 1,WCLIVE_tuafu7ezkglaaa6t,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 10,WCLIVE_tue3fgqwkglaatlr,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 11,WCLIVE_tue3fkoukglaavno,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 12,WCLIVE_tue3foumkglaaxou,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 13,WCLIVE_twcmkhytnxxaa37h,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 14,WCLIVE_twcmklh2nxxaa57e,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 15,WCLIVE_twcmkpgknxxabaav,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 16,WCLIVE_twcmksawnxxabca2,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 17,WCLIVE_twcmkvfsnxxabebu,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,LATAM,June 2026
Dynasty Speed Baccarat 11,GPKEVO_4a5136784f1bb4dc60b95d014edb8873,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Dynasty Speed Baccarat 9,GPKEVO_500a34bb77fea9499038d5d5ccbca7ef,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Classic Ukrainian Blackjack 1,GPKEVO_5e53a52f541a52c19e5e882709435812,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Free Bet Blackjack 9,GPKEVO_8121590b647dc0540fbd6878c4c9f5c9,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Classic Ukrainian Blackjack 3,GPKEVO_820de9e5bcb99497b8f3749e380665ee,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Free Bet Blackjack 10,GPKEVO_8bef0a286c6acf163ef107c1f9aa4f85,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Classic Ukrainian Blackjack 2,GPKEVO_b619561fcc4c2a535f9323ae5f678e4b,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Dynasty Speed Baccarat 10,GPKEVO_b9364aad468a5e5b838f2e57f4f5c964,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Free Bet Blackjack 8,EVOLIVE_twfr7luimokqaclt,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Free Bet Blackjack 9,EVOLIVE_twf64zlomokqaejt,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Free Bet Blackjack 10,EVOLIVE_twf66kttmokqafm3,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Free Bet Blackjack 11,EVOLIVE_twf67qibmokqagqd,Evolution Live,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Beanstalk Magic Treasures,EVOP_6482,Evoplay,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Ultra Reels Fruteria,EVOP_6488,Evoplay,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Temple Of Thunder III,EVOP_6498,Evoplay,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
EZ Dealer Roulette Arabic,EZUGI_481023,Ezugi,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
3 Cash Coins,IFGFUGASO_fg_3_cash_coins,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
ATOMIC COINS 2: RUNNING WINS 3x5x3,IFGFUGASO_fg_atomic_coins_2,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Bonanza Link: Cash Train X1000,IFGFUGASO_fg_bonanza_link_cash_train_x1000,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Bonanza Link: Cleopatra Express,IFGFUGASO_fg_bonanza_link_ce,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Bonanza Link: Midnight Train X1000,IFGFUGASO_fg_bonanza_link_midnight_train_x1000,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Coin Blitz: RUNNING WINS 3脳3,IFGFUGASO_fg_coin_blitz,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Coin Blitz: Power Wheel RUNNING WINS,IFGFUGASO_fg_coin_blitz_pw,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Electric Coins: ULTIMATE RUNNING WINS,IFGFUGASO_fg_electric_coins,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Electric Coins 2: ULTIMATE,IFGFUGASO_fg_electric_coins_2,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Fireball Link: CASH UP,IFGFUGASO_fg_fireball_link_cash_up,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
GOLD LINK EXPRESS: RUNNING WINS,IFGFUGASO_fg_gold_link_express,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Joker Coin Link: RUNNING WINS,IFGFUGASO_fg_joker_coin_link,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Mega Thunder: RUNNING WINS,IFGFUGASO_fg_mega_thunder_rw,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
MEGA VOLCANO: RUNNING WINS,IFGFUGASO_fg_mega_volcano,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Olympus Mania: Hot Bonus,IFGFUGASO_fg_olympus_mania_hot_bonus,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Olympus Power Link: RUNNING WINS Series,IFGFUGASO_fg_olympus_power_link,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
STRIKING DIAMOND 3: RUNNING WINS,IFGFUGASO_fg_striking_diamond_3,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
SUPER GOLD LINK: RUNNING WINS,IFGFUGASO_fg_super_gold_link,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Thunder Express: RUNNING WINS,IFGFUGASO_fg_thunder_express_rw,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Trinity Cash Coins,IFGFUGASO_fg_trinity_cash_coins,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Trump It Bonanza X1000,IFGFUGASO_fg_trump_it_bonanza_x1000,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Trump It Coin Link Xmas,IFGFUGASO_fg_trump_it_coin_link_xmas,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
XMAS Coins 2: ULTIMATE,IFGFUGASO_fg_xmas_coins_2_ultimate,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Zeus XTREME Link,IFGFUGASO_fg_zeus_xtreme_link,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Trinity Gold Coins RUNNING WINS,IFGFUGASO_fg_trinity_gold_coins,Fugaso,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Coin Win Express: Hold the Spin,GAMZIX_gz_coin_win_express_hs,Gamzix,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Steampunk Plinko,HB_SGSteampunkPlinko,Habanero,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Nuwa Deluxe,HB_SGNuwaDeluxe,Habanero,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
