Game Name,GA Game Code,Vendor,Category,Released Date,Game Status,Remark,Month
Dynasty Speed Baccarat 10,WCLIVE_tue3fgmmkglaatfa,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Speed Baccarat 11,WCLIVE_tue3fklbkglaavgj,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Speed Baccarat 9,WCLIVE_ttspy3zxd7aaab47,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Tolkacova European Roulette,EVOLIVE_tbargti64qqqlpas,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Sweepstakes Auto-Roulette,EVOLIVE_sweepstakeaur001,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Sweepstakes Lightning Roulette,EVOLIVE_sweepstakelr0001,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Always 6 Blackjack 5 DNT,EVOLIVE_bj6eu00000000005,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
XXXtreme Lightning Roulette 2 DNT,EVOLIVE_roulettev2xligh1,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Custom Roulette DNT,EVOLIVE_customroulette01,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Sweepstakes American Roulette,EVOLIVE_sweepstakesamro1,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Klasik Bet Stacker Blackjack 2,GPKEVO_f4fa756f463c4c816c57374273965bb7,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Classic Blackjack 5,GPKEVO_a835eeab709e5ab58367ee7fb001634a,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Classic Blackjack 9,GPKEVO_3bb7131d99090349758a32ed3358a478,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Classic Blackjack 7,GPKEVO_a56115e82f9328a8b2e0c2b300904ad7,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Classic Blackjack 8,GPKEVO_b45853e585689fa33e6dceca9a904139,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Classic Blackjack 6,GPKEVO_bb92bf80557b9912bf9e6fe628f14902,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classic Bet Stacker Blackjack 11,GPKEVO_1349095327c14aa46293d0a0e1025aa6,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Klasik Bet Stacker Blackjack 3,GPKEVO_df237771cd5fb79bd6e58a7b2c1e0ec5,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Klasik Bet Stacker Blackjack 4,GPKEVO_1ca05981f8bff21237fb3880c6621957,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classic Bet Stacker Blackjack 12,GPKEVO_ffac0bcc0454458ace408243b83180da,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classic Bet Stacker Blackjack 13,GPKEVO_237f2340342c46f3a8b47e65e5e1664b,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Crazy Time Brasil,GPKEVO_29ed052f0aec9874f05724616edc6841,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classic Always 6 Blackjack 1,GPKEVO_0436960e04f77495502bb03aa79ceab3,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classic Always 6 Blackjack 2,GPKEVO_568b856a62c3a5698485e6ba5e22202f,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classic Always 6 Blackjack 3,GPKEVO_143ecc9be7fadc30b146f3a37649d009,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classic Always 6 Blackjack 4,GPKEVO_5b55eb3b8a47cb5e2b5698fd70cdf72f,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Ruleta Relámpago XXXtreme,GPKEVO_672d0e82303c9a0021628e9c943f91f6,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dragon Dragon,GPKEVO_fc6ae856de4ef7e607a5e9bf9e69a73f,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Classique Blackjack Un,GPKEVO_d38f2e693c5b7d5de5de63bdaab2c067,Evolution Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
MONOPOLY Megapots,EVOBTG_monopolymapotsv1,Big Time Gaming,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Monopoly Megapots™,WCBTG_943,Big Time Gaming,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dead or Alive 3: Wanted,EVONTT_deadalive3r96f10,Netent,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Godbreaker,EVONTT_godbreakerr96f10,Netent,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dead or Alive 3: Wanted,WCNTT_939,Netent,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Punk Rocker 3,EVONLC_punkrocker300000,Nolimit city,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Punk Rocker 3,WCNLC_942,Nolimit city,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
San Quentin Manhunt,EVONLC_sanquentimanhunt,Nolimit city,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Golden Empire,LUCKY365_GoldenEmpire,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Super Ace Plus,LUCKY365_SuperAcePlus,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Wisdom of Athena,LUCKY365_WisdomofAthena,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Sweet Bonanza 1000,LUCKY365_SweetBonanza1000,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Super Ace Plus BJ,LUCKY365_SuperAcePlusBJ,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Ganesha Fortune,LUCKY365_GaneshaFortune,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Wild Ape,LUCKY365_WildApe,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Alibaba,LUCKY365_Alibaba,Lucky365,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Choice Speed Baccarat L39,AGL_L039,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Choice Speed Baccarat L40,AGL_L040,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Choice Speed Baccarat L42,AGL_L042,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Choice Speed Baccarat L43,AGL_L043,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Choice Speed Baccarat L44,AGL_L044,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
EMA Speed Baccarat L46,AGL_L046,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
EMA Baccarat L48,AGL_L048,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
EMA Speed Baccarat L50,AGL_L050,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
EMA Speed Baccarat L51,AGL_L051,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
EMA Speed Baccarat L57,AGL_L057,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Choice,AGL_46,Choice Live,真人 Live,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Football Mania,AGS_KG36,PA Slots,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Football Baby,AGS_KG37,PA Slots,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Vortex Aero,GPKTBG_vortexaero,Turbo Games,迷你游戏 Mini game,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Vortex PowerPlay,GPKTBG_vortexpowerplay,Turbo Games,迷你游戏 Mini game,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Chicken Route,GPKTBG_chickenroute,Turbo Games,迷你游戏 Mini game,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Crypto Crown 20,AVATARUX_prince-of-purrwood,AvatarUX,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Prince of Purrwood,AVATARUX_crypto-crown-20,AvatarUX,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
3 Builder Piggies,AVATARUX_3-builder-piggies,AvatarUX,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Match Blitz Scatter Shock (94),RUBYPLAY_rp_match_blitz_scatter_shock_94,Ruby Play,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Match Blitz Scatter Shock,RUBYPLAY_rp_match_blitz_scatter_shock,Ruby Play,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Rush Fever Catch'em All,RUBYPLAY_rp_rush_fever_catchem_all,Ruby Play,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Rush Fever Catch'em All (94),RUBYPLAY_rp_rush_fever_catchem_all_94,Ruby Play,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
20K+ Ways Buffalo Lights,RUBYPLAY_rp_20k_ways_buffalo_lights,Ruby Play,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
20K+ Ways Buffalo Lights (94),RUBYPLAY_rp_20k_ways_buffalo_lights_94,Ruby Play,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
4 Chili Amigos: Hold and Win,PLAYSON_pls_chili_amigos_4,Playson,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Rhino Coins: Hit the Bonus,PLAYSON_pls_rhino_coins,Playson,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
4 Scarab Coins: Hold and Win,PLAYSON_pls_4_scarab_coins,Playson,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Thunder Coins XXL: Multicoin,PLAYSON_pls_thunder_coins_xxl_multicoin,Playson,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
3x5 Royal Piggy: Hold The Spin,GAMZIX_gz_3x5_royal_piggy_hs,Gamzix,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Dynasty Coin 10000: Hold the Spin,GAMZIX_gz_dynasty_coin_10000,Gamzix,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Nugget n Nonsense,GPKPNG_d6b4adcea3a1d708a3bb25603e87c257,PlayNGO,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
ValhalLuck,GPKPNG_6fb1f8f30e586b7dc526623d7b992ccd,PlayNGO,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Honey Rush Black and Yellow,GPKPNG_1a3bf622866ef167d5b2d329267ea195,PlayNGO,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Tomb of Gold Reimagined,GPKPNG_0bcf886aa0048519276c6a3ef8161bbb,PlayNGO,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Hope Unleashed Fortune Rises,GPKPNG_de72158f52d31edf975db42a166e9096,PlayNGO,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Legion Gold Reckoning,GPKPNG_c036dd78f2fa3b8680a2b687804ae3ec,PlayNGO,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Gambleman,ENDOR_endorphina2_Gambleman@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
2026 Hit Slot,ENDOR_endorphina2_2026HitSlot@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
3 Coin Towers,ENDOR_endorphina2_3CoinTowers@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Love Show,ENDOR_endorphina2_LoveShow@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
3 Royal Dracos,ENDOR_endorphina2_3RoyalDracos@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Cockroach Fortune,ENDOR_endorphina2_CockroachFortune@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Burning Coins 40,ENDOR_endorphina2_BurningCoins40@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Burning Hell,ENDOR_endorphina2_BurningHell@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Best Xmas,ENDOR_endorphina2_BestXMas@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Bad Santa,ENDOR_endorphina2_BadSanta@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Mr. Bells 40,ENDOR_endorphina2_MrBells40@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Fortune Stars,ENDOR_endorphina2_FortuneStars@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Sloteus Gold,ENDOR_endorphina2_SloteusGold@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Fortune Chests,ENDOR_endorphina2_FortuneChests@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Thunder Crown,ENDOR_endorphina2_ThunderCrown@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Prestige Crown,ENDOR_endorphina2_PrestigeCrown@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Sticky Lips,ENDOR_endorphina2_StickyLips@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Amazon Riches,ENDOR_endorphina2_AmazonsRiches@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Burning Coins 20,ENDOR_endorphina2_BurningCoins20@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Starshine Crystals,ENDOR_endorphina2_StarshineCrystals@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Janissaries,ENDOR_endorphina2_Janissaries@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Fortune Capybara,ENDOR_endorphina2_FortuneCapybara@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
2025 hit slot,ENDOR_endorphina2_2025HitSlot@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Clover Flames,ENDOR_endorphina2_CloverFlames@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Chance Machine 100 Dice,ENDOR_endorphina2_ChanceMachine100Dice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Book of Santa Dice,ENDOR_endorphina2_BookOfSantaDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Book of Vlad Dice,ENDOR_endorphina2_BookOfBloodDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Xmas Burst,ENDOR_endorphina2_XmasBurst@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Crystal Skull Dice,ENDOR_endorphina2_CrystalSkullDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Chance Machine 40 Dice,ENDOR_endorphina2_ChanceMachine40Dice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
The Vampires II Dice,ENDOR_endorphina2_TheVampires2Dice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Vikings Way,ENDOR_endorphina2_VikingsWay@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Cash Streak Dice,ENDOR_endorphina2_CashStreakDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Blue Slot Dice,ENDOR_endorphina2_BlueSlotDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Golden Brew,ENDOR_endorphina2_GoldenBrew@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Joker Stoker Dice,ENDOR_endorphina2_JokerStokerDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Chance Machine 20 Dice,ENDOR_endorphina2_ChanceMachine20Dice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Royal Xmass Dice,ENDOR_endorphina2_RoyalXmassDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Cyber Wolf Dice,ENDOR_endorphina2_CyberWolfDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Chance Machine 5 Dice,ENDOR_endorphina2_ChanceMachine5Dice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
2023 Hit Slot Dice,ENDOR_endorphina2_2023HitSlotDice@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Hot Puzzle,ENDOR_endorphina2_HotPuzzle@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Santa's Puzzle,ENDOR_endorphina2_SantasPuzzle@ENDORPHINA,Endorphina,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Royal Ace,AP_10096,Advantplay,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
SUPER ELEMENTS 2,FC_22098,Fachai,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Power of Tiger,SSG_PowerOfTiger,SmartSoft,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
CheesyRoadClassic,SSG_CheesyRoadClassic,SmartSoft,迷你游戏 Mini game,1/5/2026,新上架游戏 Newly Added Games,,May 2026
CricketerX,SSG_CricketerX,SmartSoft,迷你游戏 Mini game,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Gems Crown Charging Wilds,SSG_GemsCrownChargingWilds,SmartSoft,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Multi Fruits Charging Wilds,SSG_MultiFruitsChargingWilds,SmartSoft,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Aviatrix Second Chance,AVIA_second-chance,Aviatrix,迷你游戏 Mini game,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Chicken Cross,IMOON_imoon_chicken_cross,IMOON,迷你游戏 Mini game,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Crash Legacy,IMOON_imoon_crash_legacy,IMOON,街机 Arcade,1/5/2026,新上架游戏 Newly Added Games,,May 2026
3 Wildos,TK_340210,ThunderKick,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Brute Force: Alien Onslaught,WCNLC_870,Nolimit city,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
San Quentin Manhunt,WCNLC_946,Nolimit city,电子 Slots,1/5/2026,新上架游戏 Newly Added Games,,May 2026
Andar Bahar,PP_1024,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Punto Banco Italia Tricolore,PP_491,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Andar Bahar,PP_1024,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Power Ball (1 min),PP_1901,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Power Ball (2 min),PP_1902,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Power Ball (3 min),PP_1903,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Power Ball (4 min),PP_1904,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Power Ball (5 min),PP_1905,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Roulette Indian,PP_229,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Vietnamese Roulette,PP_262,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Italian Mega Roulette,PP_298,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Indonesian Roulette,PP_951,Pragmatic Play,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Wild Bison Charge,PP_vs20stickywild,Pragmatic Play,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Journey West M,JL_112,JILI,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Golden Land,JL_182,JILI,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Clash of War,AMBS_CLASHOFWAR,Askmeslot,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Book Of Hercules A Legendary Quest,GPKSPINO_SlotMachine_BookOfHerculesALegendaryQuest,Spinomenal,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Book Of Irish Treasures,GPKSPINO_Krembo_BookOfIrishTreasures,Spinomenal,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Buffalo Collector,EVORT_buffalocollector,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Gods Of Troy,EVORT_godsoftroy000000,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Gods of Troy MegaWays�,EVORT_godsoftroymegawa,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
London Tube,EVORT_londontube000000,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Monsters Unchained,EVORT_monstersunchaine,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Siren's Riches,EVORT_sirensriches0000,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Buffalo Collector,WCRT_771,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Gods Of Troy,WCRT_403,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Gods of Troy MegaWays,WCRT_848,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
London Tube,WCRT_622,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Monsters Unchained,WCRT_630,Red Tiger,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Chicken vs Zombies,INOUT_chicken-road-zombie,INOUT,迷你游戏 Mini game,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Triple Monkey,CG_TripleMonkeyEX,Creative Gaming,电子 Slots,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M51,AGL_M051,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M52,AGL_M052,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M57,AGL_M057,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M58,AGL_M058,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M59,AGL_M059,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M69,AGL_M069,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M70,AGL_M070,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M71,AGL_M071,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M72,AGL_M072,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M73,AGL_M073,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Dragon Tiger M60,AGL_M060,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Xoc Dia X01,AGL_X001,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Xoc Dia X02,AGL_X002,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Xoc Dia X03,AGL_X003,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Xoc Dia X04,AGL_X004,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Xoc Dia X05,AGL_X005,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Baccarat of AGIN,AGL_22,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
Xoc Dia,AGL_45,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M53,AGL_M053,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M54,AGL_M054,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M55,AGL_M055,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Baccarat M56,AGL_M056,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
EMA Speed Roulette P68,AGL_P068,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
CGY Baccarat N18,AGL_N018,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
CGY Win Three Cards N21,AGL_N021,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
CGY BullBull N22,AGL_N022,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
CGY BullBull N23,AGL_N023,PlayAce Live,真人 Live,1/5/2026,新下架游戏  Newly Removed Games,,May 2026
